   Bro_S18    0.75  0.71  0.63  0.66  0.76  0.70  0.49  0.61  0.62  0.60  1.00  0.68  0.59  0.70  0.60  0.58  0.20  0.31  0.20  0.18  0.15  0.17  0.15  0.16  0.19  0.12  0.19  0.26  0.15  0.26  0.19  0.26  0.21
   Bro_S19    0.71  0.63  0.58  0.69  0.67  0.67  0.42  0.53  0.55  0.55  0.68  1.00  0.57  0.71  0.68  0.54  0.21  0.28  0.18  0.17  0.13  0.15  0.14  0.14  0.17  0.10  0.17  0.23  0.15  0.24  0.19  0.25  0.20
   Bro_S20    0.53  0.53  0.51  0.62  0.51  0.61  0.48  0.47  0.50  0.56  0.59  0.57  1.00  0.59  0.62  0.59  0.20  0.28  0.24  0.21  0.19  0.18  0.15  0.16  0.21  0.12  0.21  0.22  0.17  0.21  0.25  0.23  0.19
   Bro_S22    0.69  0.69  0.60  0.78  0.73  0.73  0.43  0.51  0.60  0.54  0.70  0.71  0.59  1.00  0.66  0.52  0.19  0.28  0.17  0.17  0.13  0.15  0.14  0.13  0.16  0.10  0.16  0.23  0.14  0.23  0.18  0.25  0.19
   Bro_S23    0.58  0.57  0.58  0.64  0.55  0.60  0.46  0.49  0.48  0.62  0.60  0.68  0.62  0.66  1.00  0.55  0.21  0.25  0.23  0.22  0.16  0.15  0.15  0.15  0.24  0.10  0.21  0.21  0.15  0.20  0.24  0.24  0.20
   Bro_S24    0.55  0.58  0.47  0.57  0.57  0.58  0.48  0.53  0.56  0.47  0.58  0.54  0.59  0.52  0.55  1.00  0.18  0.27  0.18  0.18  0.11  0.12  0.15  0.16  0.17  0.10  0.17  0.24  0.15  0.25  0.21  0.26  0.21
   Egg_S06    0.20  0.18  0.25  0.18  0.17  0.23  0.19  0.20  0.17  0.24  0.20  0.21  0.20  0.19  0.21  0.18  1.00  0.37  0.42  0.40  0.41  0.54  0.19  0.36  0.47  0.24  0.42  0.32  0.32  0.41  0.29  0.24  0.24
   Egg_S07    0.32  0.30  0.27  0.27  0.28  0.29  0.20  0.20  0.26  0.26  0.31  0.28  0.28  0.28  0.25  0.27  0.37  1.00  0.42  0.45  0.40  0.34  0.31  0.50  0.48  0.33  0.39  0.55  0.36  0.58  0.40  0.48  0.39
   Egg_S08    0.20  0.19  0.23  0.17  0.18  0.18  0.15  0.14  0.18  0.25  0.20  0.18  0.24  0.17  0.23  0.18  0.42  0.42  1.00  0.55  0.72  0.38  0.25  0.34  0.72  0.27  0.72  0.61  0.31  0.53  0.49  0.40  0.42
   Egg_S09    0.19  0.18  0.22  0.16  0.17  0.18  0.18  0.15  0.17  0.24  0.18  0.17  0.21  0.17  0.22  0.18  0.40  0.45  0.55  1.00  0.59  0.37  0.19  0.31  0.65  0.30  0.58  0.45  0.34  0.57  0.47  0.35  0.34
   Egg_S11    0.15  0.12  0.18  0.12  0.11  0.13  0.12  0.09  0.11  0.20  0.15  0.13  0.19  0.13  0.16  0.11  0.41  0.40  0.72  0.59  1.00  0.42  0.21  0.30  0.83  0.26  0.72  0.57  0.27  0.54  0.42  0.34  0.37
   Egg_S12    0.15  0.12  0.15  0.14  0.14  0.16  0.12  0.11  0.13  0.16  0.17  0.15  0.18  0.15  0.15  0.12  0.54  0.34  0.38  0.37  0.42  1.00  0.24  0.39  0.42  0.33  0.36  0.33  0.35  0.46  0.30  0.24  0.25
   Egg_S13    0.15  0.15  0.14  0.13  0.15  0.14  0.14  0.12  0.14  0.15  0.15  0.14  0.15  0.14  0.15  0.15  0.19  0.31  0.25  0.19  0.21  0.24  1.00  0.34  0.26  0.26  0.27  0.27  0.28  0.26  0.24  0.31  0.23
   Egg_S14    0.15  0.16  0.15  0.13  0.14  0.14  0.13  0.09  0.13  0.16  0.16  0.14  0.16  0.13  0.15  0.16  0.36  0.50  0.34  0.31  0.30  0.39  0.34  1.00  0.35  0.41  0.30  0.39  0.50  0.35  0.28  0.34  0.31
   Egg_S15    0.19  0.17  0.22  0.16  0.17  0.17  0.14  0.14  0.16  0.25  0.19  0.17  0.21  0.16  0.24  0.17  0.47  0.48  0.72  0.65  0.83  0.42  0.26  0.35  1.00  0.24  0.72  0.59  0.22  0.63  0.51  0.42  0.39
   Egg_S16    0.11  0.12  0.11  0.09  0.10  0.10  0.11  0.05  0.10  0.10  0.12  0.10  0.12  0.10  0.10  0.10  0.24  0.33  0.27  0.30  0.26  0.33  0.26  0.41  0.24  1.00  0.25  0.30  0.45  0.27  0.18  0.21  0.17
   Egg_S17    0.19  0.16  0.22  0.16  0.15  0.17  0.15  0.13  0.15  0.23  0.19  0.17  0.21  0.16  0.21  0.17  0.42  0.39  0.72  0.58  0.72  0.36  0.27  0.30  0.72  0.25  1.00  0.55  0.29  0.50  0.51  0.46  0.40
   Egg_S19    0.26  0.26  0.21  0.22  0.23  0.24  0.17  0.16  0.21  0.23  0.26  0.23  0.22  0.23  0.21  0.24  0.32  0.55  0.61  0.45  0.57  0.33  0.27  0.39  0.59  0.30  0.55  1.00  0.36  0.57  0.39  0.44  0.42
   Egg_S20    0.16  0.17  0.16  0.14  0.15  0.15  0.13  0.11  0.15  0.16  0.15  0.15  0.17  0.14  0.15  0.15  0.32  0.36  0.31  0.34  0.27  0.35  0.28  0.50  0.22  0.45  0.29  0.36  1.00  0.29  0.28  0.28  0.22
   Egg_S25    0.27  0.25  0.22  0.22  0.24  0.25  0.17  0.16  0.22  0.22  0.26  0.24  0.21  0.23  0.20  0.25  0.41  0.58  0.53  0.57  0.54  0.46  0.26  0.35  0.63  0.27  0.50  0.57  0.29  1.00  0.44  0.42  0.41
   Egg_S53    0.19  0.20  0.24  0.18  0.19  0.19  0.19  0.12  0.18  0.26  0.19  0.19  0.25  0.18  0.24  0.21  0.29  0.40  0.49  0.47  0.42  0.30  0.24  0.28  0.51  0.18  0.51  0.39  0.28  0.44  1.00  0.44  0.51
   Egg_S54    0.27  0.27  0.24  0.24  0.25  0.26  0.19  0.15  0.22  0.25  0.26  0.25  0.23  0.25  0.24  0.26  0.24  0.48  0.40  0.35  0.34  0.24  0.31  0.34  0.42  0.21  0.46  0.44  0.28  0.42  0.44  1.00  0.57
   Egg_S55    0.23  0.21  0.20  0.19  0.20  0.21  0.18  0.14  0.21  0.21  0.21  0.20  0.19  0.19  0.20  0.21  0.24  0.39  0.42  0.34  0.37  0.25  0.23  0.31  0.39  0.17  0.40  0.42  0.22  0.41  0.51  0.57  1.00

Computation time: 0.272 sec





= = = = = = = = = = = = = = = = = = = = = = = = = = = = = = = = = = =
SIMILARITY MATRIX WITH WUP
                                                                                                                                                                                                                  
                                                                                                                                                                                                                  
                                                                                                                                                                                                                  
                 B     B     B     B     B     B     B     B     B     B     B     B     B     B     B     B     E     E     E     E     E     E     E     E     E     E     E     E     E     E     E     E     E
                 r     r     r     r     r     r     r     r     r     r     r     r     r     r     r     r     g     g     g     g     g     g     g     g     g     g     g     g     g     g     g     g     g
                 o     o     o     o     o     o     o     o     o     o     o     o     o     o     o     o     g     g     g     g     g     g     g     g     g     g     g     g     g     g     g     g     g
                 _     _     _     _     _     _     _     _     _     _     _     _     _     _     _     _     _     _     _     _     _     _     _     _     _     _     _     _     _     _     _     _     _
                 S     S     S     S     S     S     S     S     S     S     S     S     S     S     S     S     S     S     S     S     S     S     S     S     S     S     S     S     S     S     S     S     S
                 0     0     0     0     1     1     1     1     1     1     1     1     2     2     2     2     0     0     0     0     1     1     1     1     1     1     1     1     2     2     5     5     5
                 6     7     8     9     0     2     3     4     6     7     8     9     0     2     3     4     6     7     8     9     1     2     3     4     5     6     7     9     0     5     3     4     5

   Bro_S06    1.00  0.70  0.65  0.64  0.76  0.71  0.39  0.52  0.57  0.57  0.75  0.72  0.55  0.69  0.59  0.58  0.25  0.37  0.23  0.24  0.19  0.21  0.21  0.23  0.23  0.18  0.21  0.32  0.24  0.32  0.23  0.32  0.30
   Bro_S07    0.70  1.00  0.63  0.69  0.79  0.68  0.44  0.56  0.55  0.54  0.71  0.63  0.53  0.70  0.57  0.58  0.22  0.34  0.22  0.23  0.16  0.18  0.21  0.23  0.21  0.17  0.19  0.32  0.24  0.30  0.23  0.31  0.27
   Bro_S08    0.65  0.63  1.00  0.58  0.67  0.60  0.47  0.52  0.52  0.71  0.64  0.60  0.52  0.60  0.58  0.50  0.32  0.28  0.29  0.28  0.23  0.23  0.18  0.20  0.28  0.15  0.27  0.26  0.21  0.27  0.29  0.26  0.22
   Bro_S09    0.64  0.69  0.58  1.00  0.68  0.68  0.47  0.54  0.55  0.57  0.66  0.69  0.62  0.78  0.64  0.59  0.24  0.31  0.22  0.21  0.18  0.21  0.21  0.23  0.22  0.16  0.21  0.28  0.21  0.27  0.22  0.26  0.25
   Bro_S10    0.76  0.79  0.67  0.68  1.00  0.75  0.49  0.53  0.61  0.59  0.76  0.69  0.52  0.73  0.55  0.58  0.21  0.34  0.22  0.21  0.15  0.17  0.22  0.23  0.20  0.16  0.17  0.30  0.21  0.27  0.21  0.29  0.26
   Bro_S12    0.71  0.68  0.60  0.68  0.75  1.00  0.46  0.53  0.61  0.52  0.70  0.67  0.61  0.73  0.60  0.58  0.28  0.33  0.23  0.23  0.20  0.22  0.19  0.22  0.24  0.15  0.23  0.31  0.20  0.29  0.24  0.29  0.25
   Bro_S13    0.39  0.44  0.47  0.47  0.49  0.46  1.00  0.44  0.53  0.55  0.49  0.43  0.49  0.44  0.46  0.48  0.21  0.23  0.19  0.22  0.17  0.16  0.18  0.18  0.19  0.14  0.19  0.20  0.17  0.20  0.22  0.21  0.21
   Bro_S14    0.52  0.56  0.52  0.54  0.53  0.53  0.44  1.00  0.52  0.55  0.62  0.55  0.47  0.52  0.49  0.54  0.21  0.21  0.18  0.18  0.16  0.15  0.16  0.15  0.18  0.11  0.18  0.20  0.15  0.19  0.18  0.19  0.19
   Bro_S16    0.57  0.55  0.52  0.55  0.61  0.61  0.53  0.52  1.00  0.59  0.62  0.56  0.51  0.60  0.49  0.56  0.21  0.29  0.20  0.20  0.16  0.17  0.19  0.20  0.19  0.16  0.18  0.25  0.21  0.25  0.20  0.25  0.26
   Bro_S17    0.57  0.54  0.71  0.57  0.59  0.52  0.55  0.55  0.59  1.00  0.60  0.55  0.56  0.55  0.62  0.47  0.30  0.30  0.31  0.28  0.27  0.23  0.19  0.23  0.32  0.15  0.30  0.28  0.21  0.25  0.32  0.29  0.24
   Bro_S18    0.75  0.71  0.64  0.66  0.76  0.70  0.49  0.62  0.62  0.60  1.00  0.68  0.59  0.70  0.60  0.58  0.24  0.35  0.23  0.21  0.19  0.22  0.23  0.22  0.22  0.18  0.22  0.32  0.23  0.30  0.22  0.30  0.27
   Bro_S19    0.72  0.63  0.60  0.69  0.69  0.67  0.43  0.55  0.56  0.55  0.68  1.00  0.59  0.71  0.68  0.55  0.25  0.32  0.20  0.20  0.17  0.20  0.22  0.23  0.20  0.17  0.21  0.30  0.22  0.27  0.22  0.30  0.27
   Bro_S20    0.55  0.53  0.52  0.62  0.52  0.61  0.49  0.47  0.51  0.56  0.59  0.59  1.00  0.60  0.62  0.60  0.28  0.30  0.29  0.27  0.27  0.23  0.18  0.21  0.28  0.18  0.26  0.26  0.21  0.25  0.30  0.25  0.21
   Bro_S22    0.69  0.70  0.60  0.78  0.73  0.73  0.44  0.52  0.60  0.55  0.70  0.71  0.60  1.00  0.67  0.55  0.26  0.33  0.24  0.22  0.18  0.23  0.21  0.22  0.22  0.15  0.21  0.28  0.21  0.27  0.23  0.27  0.25
   Bro_S23    0.59  0.57  0.58  0.64  0.55  0.60  0.46  0.49  0.49  0.62  0.60  0.68  0.62  0.67  1.00  0.55  0.26  0.28  0.29  0.28  0.25  0.22  0.18  0.22  0.31  0.15  0.29  0.26  0.19  0.23  0.31  0.24  0.22
   Bro_S24    0.58  0.58  0.50  0.59  0.58  0.58  0.48  0.54  0.56  0.47  0.58  0.55  0.60  0.55  0.55  1.00  0.19  0.31  0.22  0.21  0.15  0.19  0.21  0.22  0.20  0.15  0.21  0.29  0.21  0.28  0.24  0.30  0.27
   Egg_S06    0.25  0.22  0.32  0.24  0.21  0.28  0.21  0.21  0.21  0.30  0.24  0.25  0.28  0.26  0.26  0.19  1.00  0.40  0.45  0.43  0.45  0.57  0.24  0.40  0.50  0.35  0.49  0.35  0.36  0.44  0.34  0.26  0.29
   Egg_S07    0.37  0.34  0.28  0.31  0.34  0.33  0.23  0.21  0.29  0.30  0.35  0.32  0.30  0.33  0.28  0.31  0.40  1.00  0.42  0.45  0.40  0.39  0.33  0.54  0.48  0.34  0.40  0.56  0.36  0.58  0.43  0.50  0.41
   Egg_S08    0.23  0.22  0.29  0.22  0.22  0.23  0.19  0.18  0.20  0.31  0.23  0.20  0.29  0.24  0.29  0.22  0.45  0.42  1.00  0.56  0.72  0.44  0.28  0.39  0.73  0.32  0.73  0.61  0.36  0.53  0.54  0.43  0.44
   Egg_S09    0.24  0.23  0.28  0.21  0.21  0.23  0.22  0.18  0.20  0.28  0.21  0.20  0.27  0.22  0.28  0.21  0.43  0.45  0.56  1.00  0.60  0.43  0.24  0.35  0.65  0.38  0.60  0.47  0.37  0.57  0.51  0.35  0.36
   Egg_S11    0.19  0.16  0.23  0.18  0.15  0.20  0.17  0.16  0.16  0.27  0.19  0.17  0.27  0.18  0.25  0.15  0.45  0.40  0.72  0.60  1.00  0.46  0.24  0.36  0.84  0.36  0.73  0.59  0.31  0.54  0.48  0.35  0.39
   Egg_S12    0.21  0.18  0.23  0.21  0.17  0.22  0.16  0.15  0.17  0.23  0.22  0.20  0.23  0.23  0.22  0.19  0.57  0.39  0.44  0.43  0.46  1.00  0.29  0.43  0.49  0.40  0.42  0.39  0.38  0.49  0.38  0.28  0.28
   Egg_S13    0.21  0.21  0.18  0.21  0.22  0.19  0.18  0.16  0.19  0.19  0.23  0.22  0.18  0.21  0.18  0.21  0.24  0.33  0.28  0.24  0.24  0.29  1.00  0.41  0.27  0.33  0.30  0.32  0.33  0.27  0.26  0.35  0.27
   Egg_S14    0.23  0.23  0.20  0.23  0.23  0.22  0.18  0.15  0.20  0.23  0.22  0.23  0.21  0.22  0.22  0.22  0.40  0.54  0.39  0.35  0.36  0.43  0.41  1.00  0.40  0.44  0.37  0.45  0.50  0.38  0.35  0.40  0.35
   Egg_S15    0.23  0.21  0.28  0.22  0.20  0.24  0.19  0.18  0.19  0.32  0.22  0.20  0.28  0.22  0.31  0.20  0.50  0.48  0.73  0.65  0.84  0.49  0.27  0.40  1.00  0.33  0.74  0.61  0.27  0.63  0.56  0.43  0.42
   Egg_S16    0.18  0.17  0.15  0.16  0.16  0.15  0.14  0.11  0.16  0.15  0.18  0.17  0.18  0.15  0.15  0.15  0.35  0.34  0.32  0.38  0.36  0.40  0.33  0.44  0.33  1.00  0.37  0.32  0.50  0.35  0.27  0.25  0.27
   Egg_S17    0.21  0.19  0.27  0.21  0.17  0.23  0.19  0.18  0.18  0.30  0.22  0.21  0.26  0.21  0.29  0.21  0.49  0.40  0.73  0.60  0.73  0.42  0.30  0.37  0.74  0.37  1.00  0.57  0.32  0.50  0.56  0.49  0.43
   Egg_S19    0.32  0.32  0.26  0.28  0.30  0.31  0.20  0.20  0.25  0.28  0.32  0.30  0.26  0.28  0.26  0.29  0.35  0.56  0.61  0.47  0.59  0.39  0.32  0.45  0.61  0.32  0.57  1.00  0.39  0.59  0.42  0.49  0.44
   Egg_S20    0.24  0.24  0.21  0.21  0.21  0.20  0.17  0.15  0.21  0.21  0.23  0.22  0.21  0.21  0.19  0.21  0.36  0.36  0.36  0.37  0.31  0.38  0.33  0.50  0.27  0.50  0.32  0.39  1.00  0.33  0.32  0.31  0.27
   Egg_S25    0.32  0.30  0.27  0.27  0.27  0.29  0.20  0.19  0.25  0.25  0.30  0.27  0.25  0.27  0.23  0.28  0.44  0.58  0.53  0.57  0.54  0.49  0.27  0.38  0.63  0.35  0.50  0.59  0.33  1.00  0.47  0.42  0.42
   Egg_S53    0.23  0.23  0.29  0.22  0.21  0.24  0.22  0.18  0.20  0.32  0.22  0.22  0.30  0.23  0.31  0.24  0.34  0.43  0.54  0.51  0.48  0.38  0.26  0.35  0.56  0.27  0.56  0.42  0.32  0.47  1.00  0.47  0.51
   Egg_S54    0.32  0.31  0.26  0.26  0.29  0.29  0.21  0.19  0.25  0.29  0.30  0.30  0.25  0.27  0.24  0.30  0.26  0.50  0.43  0.35  0.35  0.28  0.35  0.40  0.43  0.25  0.49  0.49  0.31  0.42  0.47  1.00  0.60
   Egg_S55    0.30  0.27  0.22  0.25  0.26  0.25  0.21  0.19  0.26  0.24  0.27  0.27  0.21  0.25  0.22  0.27  0.29  0.41  0.44  0.36  0.39  0.28  0.27  0.35  0.42  0.27  0.43  0.44  0.27  0.42  0.51  0.60  1.00

Computation time: 11.296 sec
